AN,Andaman and Nicobar
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BR,Bihar
CT,Chattisgarh
DL,Delhi
DN,Dadra and Nagar Haveli
GA,Goa
GJ,Gujrat
HP,Himachal Pradesh
HR,Hariyana
JH,Jharkhand
JK,Jammu and Kashmir
KA,Karnataka
KL,Kerala
MH,Maharashtra
ML,Meghalaya
MN,Manipur
MP,Madhya Pradesh
MZ,Mizoram
NL,Nagaland
OR,Odisa
PB,Punjab
RJ,Rajstan
SK,Sikkim
TG,Telangana
TN,Tamil Nadu
TR,Tripura
UP,Uttar Pradesh
UT,Uttarakhand
WB,West Bengal
PY,Puducherry
DD,Daman and Diu
LA,Ladakh
LD,Lakshdweep
CH,Chandigarh
